Circumstances,Target
assembled cricklewood airfield may aircraft departed cricklewood th test flight carrying six crew member shortly takeoff climbing height foot four engine stopped pilot elected return emergency landing aircraft stalled crashed field located front garrick avenue golders green bursting flame colonel ogilvie seating tail gunner position back plane survived five occupant killed crew cpt vernon earl george busby pilot mr bertram g cooper mr r p cooper mr w h hathaway mr j w windebank colonel ogilvie,71
single engine aircraft completing local training flight stalled crashed near abukir crew member killed second injured crew nd lt g e satterthwaite nd lt j acheson,4
lt frank stuart patterson son nephew cofounder national cash register killed crash dhm wilbur wright field flight test new mechanism synchronizing machine gun propeller tie rod break dive foot causing wing separate aircraft wishing recognize contribution patterson family owner ncr area wright field east huffman dam including wilbur wright field fairfield air depot huffman prairie renamed patterson field july honor lt patterson,16
aircraft crashed iupon landing somewhere france pilot charles c bassett survived,46
pilot departed isle grain delivery flight glasgowrenfrew airport approach raf usworth raf hylton elected make goaround aircraft lost height crashed aircraft destroyed pilot captain arthur leslie simms killed,24
crew completing local training flight raf seaton carew aircraft entered spin crashed field bursting flame occupant killed crew cpt charles david danby pilot st class e bannister mechanic,19
aircraft departed castle bromwich test flight carrying five engineer two crew member en route twin engine aircraft suffered technical problem wing lost height crashed field located maxstoke aircraft destroyed seven occupant killed crew lt robert edward macbeth lt frederick james bravery st air mechanic james benjamn may nd air mechanic albert j winrow nd air mechanic h simmonds rd air mechanic charles william offord rd george greenland,4
seaplane crashed unknown circumstance sea cascais killing crew member,47
final approach bad visibility aircraft low struck ground short runway crashed occupant injured crew performing training flight behalf th squadron,66
pilot tried return base due low visibility night lost orientation elected make emergency landing open field aircraft hit tree crashed pilot injured,73
pilot sole board completing local training flight castle bromwich arport taking engine failed causing aircraft stall crash pilot nd lt ormand hilton curry slightly injured aircraft destroyed,68
airplane crashed unknown circumstance sea saintvaastlahougue killing crew member crew lt h aitken lt u thomas,47
aircraft crashed unknown circumstance,42
crew completing training mission altitude foot aircraft entered spin crashed open field near evermanbarron field airport crew killed second occupant injured aircraft destroyed,19
single engine aircraft crashed near old sarum airfield captain c e abell killed flight cadet g c oliver seriously injured,24
crashed following engine failure pilot fate unknown,49
accident occurred unknown circumstance,42
pilot carl b smith performing mail flight killed airplane stalled entered spin crashed takeoff elizabeth airfield,16
crew performing local training flight raf bicester completing turn crew lost control airplane stalled crashed pilot injured airplane damaged beyond repair crew lt l j mooney flt cadet b b abraham,64
pilot sole board departed thessaloniki flight athens faliron en route weather condition deteriorated aircraft crashed slope mt olympus wreckage found several day later owned cdr denain french arme de lair aircraft lend cpt aristidis moraitinis greek marine killed accident,36
landing aircraft bounced crashed flame occupant killed exact date crash unknown plane crashed date,46
january en route cricklewood foggy condition crew encountered engine problem due air fuel line attempted emergency landing aircraft landed open field located thompson wood near sewardstone essex five occupant uninjured aircraft suffered minor damage nevertheless repaired site decided take six day later continue cricklewood upon takeoff soft ground twin engine bomber failed get airborne crashed hedge lining field five occupant injured aircraft destroyed,73
dh collided salmson aircraft latreceyormoysuraube crashed killing pilot raymond b messer,12
suffered engine failure entered dive crashed ellington field,71
crashed river bank near elizabeth nj following engine failure,71
twin engine airplane returning castle bromwich following aerial photography mission upon landing pilot encountered strong crosswind aircraft slipped ground crashed came rest nose stuck ground five occupant evacuated safely aircraft damaged beyond repair,55
crashed stormy weather pilot fate unknown,49
flight crew encountered engine problem elected make emergency landing open field near bordeaux occupant slightly injured aircraft damaged beyond repair,58
crashed unknow circumstance somewhere france occupant fate unknown,50
flying poor weather condition aircraft impacted tree crashed wooded area located mile north newark crew fate unknown,49
crew performing first postal flight paris rome italy aircraft departed villacoublay airport lt overflying drme crew encountered strong wind north one engine seems problem crew elected make emergency landing aircraft crashed open field located coinaud near saintrambertdalbon occupant killed crew jules vdrines pilot marcel guillain navigator,16
twin engine airplane engaged night training flight british isle taking night andover airfield aircraft encountered difficulty crashed building bursting flame two passenger seriously injured five occupant killed crew maj thomas archibald batchelor flt lt reginald arthur walter adkins lt arthur barlow whiteside flt sgt horace henry heales cpl edgar george ward lt edward albert westall flt sgt herbert william smith,4
aircraft departed hendon night mail flight bournemouth carrying one pilot load newspaper descending portsmouth pilot encountered low visibility due thick fog airpane impacted top hill crashed portsdown hill north portsmouth pilot captain howard j saint sole board killed,18
aircraft crashed near wright afb unknown circumstance,42
aircraft crashed near oklahoma citywest wood field airport unknown circumstance,42
aircraft departed campoformido airport udine official secret flight bratislava slovakia approach ivanka airport flying altitude metre aircraft banked left nosed crashed open field located vajnory km north airfield bursting flame four occupant killed crew lt giotto mancinelliscotti pilot sgt umberto merlini pilot gabriele aggiusti radionavigator passenger general milan rastislav tefnik international airport bratislava later renamed bratislavaivankamilan rastislav tefnik,25
aircraft crashed unknown circumstance,42
single engine aircraft departed london flight paris carrying one pilot one passenger agronomist botanist aaron aaronsohn flying channel aircraft crashed unknown circumstance sea boulognesurmer occupant killed,39
crashed unknown circumstance crew fate unknown,50
aircraft departed london flight cairo carrying four crew member paris one passenger colonel thomas edward lawrence awa lawrence arabia embarked fly cairo taking part peace conference paris approaching romecentocelle airport dusk pilot encountered limited visibility attempted goaround procedure aircraft clipped tree crashed upside pilot killed three occupant injured crew nd lt frederick george prince pilot nd lt sydney spratt pilot aircraftman f j daw passenger colonel thomas edward lawrence,4
crew engaged local training flight raf aldeburgh height foot single engine airplane collided second raf dh registered c also carrying two pilot aircraft dove ground crashed near airfield pilot board c killed pilot board c seriously injured one died two day later crew st mo lt cyril victor clarence wright lt edward william sydney jacobi,19
crew engaged local training flight raf aldeburgh height foot single engine airplane collided second raf dh registered c also carrying two pilot aircraft dove ground crashed near airfield pilot board c killed pilot board c seriously injured one died two day later crew st mo lt g wyatt sgt l adock,19
shortly takeoff cleveland airport climbing engine caught fire pilot lost control airplane crashed bursting flame pilot killed,20
shortly takeoff initial climb engine failed aircraft lost height crashed three occupant injured aircraft damaged beyond repair,62
crashed unknown circumstance near hartford ct crew fate unknown,50
british aviator john alcock arthur whitten brown performing one first transatlantic crossflight u europe aircraft departed saint johnslester field newfoundland jun lt following uneventful flight hour minute altitude foot average speed kmh pilot reached irish coast morning june landing open field located clifden galway twin engine aircraft nosed came rest pilot slightly injured aircraft damaged beyond repair,64
aircraft crashed unknown circumstance crew fate unknown,50
crew completing local training flight upon takeoff aircraft crashed came rest three occupant injured aircraft damaged beyond repair,64
